ID_Viaje,Fecha,Ruta,Numero_Pasajeros,Duracion_Viaje_Minutos,Retraso_Minutos,Tipo_Transporte,Region,Dia_Semana
1763,2023-01-02 05:22:00,Valencia - Sevilla,63,600.0,108,Autobús,Sevilla,Monday
1767,2023-01-02 05:26:00,Malaga - Sevilla,90,166.0,32,Autobús,Malaga,Monday
1776,2023-01-02 05:35:00,Madrid - Zaragoza,45,388.0,67,Autobús,Zaragoza,Monday
1786,2023-01-02 05:45:00,Zaragoza - Barcelona,48,406.0,93,Tren,Barcelona,Monday
1804,2023-01-02 06:03:00,Bilbao - Madrid,53,285.0,93,Autobús,Bilbao,Monday
1835,2023-01-02 06:34:00,Sevilla - Madrid,22,465.0,108,Autobús,Sevilla,Monday
1847,2023-01-02 06:46:00,Madrid - Zaragoza,72,599.0,28,Tren,Zaragoza,Monday
1848,2023-01-02 06:47:00,Valencia - Sevilla,91,31.0,31,Autobús,Sevilla,Monday
1858,2023-01-02 06:57:00,Bilbao - Madrid,84,127.0,17,Tren,Bilbao,Monday
1859,2023-01-02 06:58:00,Madrid - Zaragoza,14,229.0,90,Autobús,Zaragoza,Monday
1866,2023-01-02 07:05:00,Malaga - Sevilla,46,133.0,13,Autobús,Sevilla,Monday
1908,2023-01-02 07:47:00,Bilbao - Madrid,22,682.0,56,Autobús,Madrid,Monday
1909,2023-01-02 07:48:00,Madrid - Zaragoza,55,463.0,114,Tren,Madrid,Monday
1910,2023-01-02 07:49:00,Sevilla - Madrid,45,330.0,111,Autobús,Sevilla,Monday
1923,2023-01-02 08:02:00,Madrid - Malaga,65,701.0,115,Autobús,Malaga,Monday
1925,2023-01-02 08:04:00,Barcelona - Bilbao,63,562.0,114,Autobús,Barcelona,Monday
1929,2023-01-02 08:08:00,Zaragoza - Barcelona,35,536.0,84,Tren,Barcelona,Monday
1932,2023-01-02 08:11:00,Bilbao - Madrid,53,183.0,11,Tren,Madrid,Monday
1939,2023-01-02 08:18:00,Zaragoza - Barcelona,77,399.0,51,Autobús,Barcelona,Monday
1942,2023-01-02 08:21:00,Bilbao - Madrid,86,208.0,24,Tren,Madrid,Monday
1948,2023-01-02 08:27:00,Madrid - Zaragoza,96,358.0,66,Autobús,Madrid,Monday
1952,2023-01-02 08:31:00,Madrid - Barcelona,19,666.0,26,Autobús,Madrid,Monday
1954,2023-01-02 08:33:00,Malaga - Sevilla,49,136.0,15,Autobús,Malaga,Monday
1955,2023-01-02 08:34:00,Barcelona - Bilbao,92,471.0,62,Tren,Barcelona,Monday
1969,2023-01-02 08:48:00,Malaga - Sevilla,59,212.0,62,Tren,Sevilla,Monday
1977,2023-01-02 08:56:00,Madrid - Barcelona,91,594.0,7,Autobús,Madrid,Monday
1980,2023-01-02 08:59:00,Sevilla - Madrid,22,489.0,40,Autobús,Madrid,Monday
