Ruta,Numero_Pasajeros,Duracion_Viaje_Minutos,Retraso_Minutos,Tipo_Transporte,Region,Dia_Semana,Mes,Día,Hora,Minuto
Barcelona - Valencia,73,414.0,91,2,Valencia,6,1,1,7,49
Madrid - Malaga,36,336.0,49,2,Malaga,6,1,1,7,55
Bilbao - Madrid,68,689.0,75,1,Bilbao,6,1,1,7,59
Bilbao - Madrid,72,703.0,15,2,Madrid,6,1,1,8,6
Bilbao - Madrid,26,428.0,94,2,Madrid,6,1,1,8,9
Sevilla - Madrid,24,596.0,82,2,Sevilla,6,1,1,8,17
Zaragoza - Barcelona,81,428.0,45,1,Barcelona,6,1,1,8,26
Sevilla - Madrid,25,144.0,89,1,Sevilla,6,1,1,8,28
Bilbao - Madrid,30,402.0,106,2,Bilbao,6,1,1,8,31
Valencia - Sevilla,34,211.0,4,2,Sevilla,6,1,1,8,42
Barcelona - Bilbao,49,500.0,63,1,Bilbao,6,1,1,8,52
Barcelona - Valencia,21,718.0,117,1,Valencia,6,1,1,9,15
Malaga - Sevilla,52,134.0,11,1,Malaga,6,1,1,9,27
Madrid - Zaragoza,14,603.0,89,2,Zaragoza,6,1,1,9,37
Bilbao - Madrid,72,645.0,108,2,Bilbao,6,1,1,9,43
Sevilla - Madrid,19,257.0,83,2,Sevilla,6,1,1,9,49
Sevilla - Madrid,48,182.0,68,2,Madrid,6,1,1,9,59
Sevilla - Madrid,47,315.0,84,2,Sevilla,6,1,1,10,10
Madrid - Malaga,28,716.0,98,1,Malaga,6,1,1,10,16
Zaragoza - Barcelona,43,251.0,54,1,Barcelona,6,1,1,10,20
Sevilla - Madrid,82,703.0,11,2,Madrid,6,1,1,10,23
Barcelona - Valencia,49,131.0,46,2,Valencia,6,1,1,10,35
Madrid - Zaragoza,79,375.0,87,1,Madrid,6,1,1,11,8
Bilbao - Madrid,50,701.0,80,1,Madrid,6,1,1,11,9
Madrid - Malaga,76,544.0,27,2,Malaga,6,1,1,11,10
Bilbao - Madrid,82,294.0,56,1,Madrid,6,1,1,11,21
Bilbao - Madrid,37,247.0,75,2,Madrid,6,1,1,11,32
Barcelona - Bilbao,75,391.0,42,1,Bilbao,6,1,1,11,45
Barcelona - Bilbao,94,182.0,102,2,Barcelona,6,1,1,11,55
Madrid - Barcelona,43,360.0,115,1,Madrid,6,1,1,12,0
Barcelona - Valencia,30,446.0,4,2,Barcelona,6,1,1,12,5
Malaga - Sevilla,47,503.0,81,1,Sevilla,6,1,1,12,11
Valencia - Sevilla,38,217.0,55,2,Valencia,6,1,1,12,33
Zaragoza - Barcelona,45,439.0,105,2,Barcelona,6,1,1,12,41
Madrid - Zaragoza,65,446.0,84,2,Zaragoza,6,1,1,12,49
Barcelona - Bilbao,21,681.0,79,1,Bilbao,6,1,1,13,10
Sevilla - Madrid,83,634.0,46,1,Sevilla,6,1,1,13,22
Madrid - Barcelona,34,190.0,47,1,Barcelona,6,1,1,13,24
Madrid - Barcelona,48,513.0,81,2,Madrid,6,1,1,13,27
Valencia - Sevilla,79,601.0,6,2,Valencia,6,1,1,13,33
Valencia - Sevilla,29,264.0,29,2,Sevilla,6,1,1,13,45
Zaragoza - Barcelona,35,439.0,64,2,Zaragoza,6,1,1,13,46
Bilbao - Madrid,81,294.0,95,1,Bilbao,6,1,1,13,57
Valencia - Sevilla,65,190.0,86,2,Valencia,6,1,1,14,12
Bilbao - Madrid,39,546.0,107,2,Bilbao,6,1,1,14,17
Sevilla - Madrid,31,139.0,57,2,Sevilla,6,1,1,14,22
Madrid - Malaga,30,347.0,9,1,Madrid,6,1,1,14,25
Sevilla - Madrid,57,288.0,30,2,Sevilla,6,1,1,14,27
Valencia - Sevilla,71,121.0,71,2,Sevilla,6,1,1,14,31
Zaragoza - Barcelona,54,699.0,76,2,Barcelona,6,1,1,14,47
Zaragoza - Barcelona,17,585.0,23,1,Barcelona,6,1,1,14,55
Valencia - Sevilla,52,402.0,49,1,Sevilla,6,1,1,15,1
Barcelona - Bilbao,78,460.0,77,2,Barcelona,6,1,1,15,4
Bilbao - Madrid,47,681.0,64,1,Madrid,6,1,1,15,7
Barcelona - Bilbao,54,598.0,46,1,Barcelona,6,1,1,15,14
Madrid - Barcelona,91,267.0,103,1,Barcelona,6,1,1,15,20
Zaragoza - Barcelona,81,538.0,93,2,Zaragoza,6,1,1,15,36
Barcelona - Valencia,65,243.0,87,2,Barcelona,6,1,1,15,48
Sevilla - Madrid,21,357.0,102,2,Madrid,6,1,1,15,49
Madrid - Zaragoza,21,354.0,44,2,Zaragoza,6,1,1,16,21
Bilbao - Madrid,93,280.0,69,1,Bilbao,6,1,1,16,23
Zaragoza - Barcelona,14,462.0,116,2,Barcelona,6,1,1,16,27
Madrid - Zaragoza,10,347.0,46,2,Madrid,6,1,1,16,31
Barcelona - Valencia,45,260.0,78,1,Valencia,6,1,1,16,35
Sevilla - Madrid,93,448.0,97,1,Madrid,6,1,1,16,49
Madrid - Barcelona,79,697.0,72,2,Madrid,6,1,1,17,7
Zaragoza - Barcelona,49,528.0,9,1,Zaragoza,6,1,1,17,24
Zaragoza - Barcelona,73,234.0,69,2,Zaragoza,6,1,1,17,25
Malaga - Sevilla,25,392.0,57,2,Sevilla,6,1,1,17,49
Madrid - Barcelona,98,321.0,101,1,Madrid,6,1,1,17,50
Barcelona - Bilbao,20,441.0,77,2,Barcelona,6,1,1,18,4
Malaga - Sevilla,14,423.0,94,2,Sevilla,6,1,1,18,15
Malaga - Sevilla,63,519.0,110,2,Sevilla,6,1,1,18,25
Barcelona - Valencia,39,158.0,92,2,Valencia,6,1,1,18,37
Barcelona - Valencia,28,569.0,80,2,Valencia,6,1,1,18,56
Madrid - Malaga,28,662.0,56,1,Madrid,6,1,1,18,57
Madrid - Zaragoza,67,338.0,36,2,Madrid,6,1,1,19,2
Madrid - Malaga,85,446.0,41,1,Malaga,6,1,1,19,9
Zaragoza - Barcelona,10,227.0,74,1,Zaragoza,6,1,1,19,16
Madrid - Zaragoza,53,508.0,101,1,Zaragoza,6,1,1,19,32
Valencia - Sevilla,30,390.0,9,1,Valencia,6,1,1,19,40
Malaga - Sevilla,87,689.0,65,1,Malaga,6,1,1,19,51
Madrid - Malaga,58,334.0,67,1,Madrid,6,1,1,19,53
Sevilla - Madrid,43,332.0,108,1,Madrid,6,1,1,19,54
Malaga - Sevilla,63,719.0,19,1,Malaga,6,1,1,20,10
Valencia - Sevilla,17,178.0,47,1,Valencia,6,1,1,20,11
Madrid - Barcelona,20,612.0,42,2,Madrid,6,1,1,20,15
Barcelona - Bilbao,86,197.0,63,2,Bilbao,6,1,1,20,33
Bilbao - Madrid,66,428.0,119,2,Bilbao,6,1,1,20,38
Barcelona - Valencia,35,421.0,42,2,Valencia,6,1,1,20,45
Bilbao - Madrid,41,484.0,6,2,Madrid,6,1,1,21,5
Barcelona - Bilbao,70,397.0,88,2,Barcelona,6,1,1,21,9
Barcelona - Valencia,78,144.0,87,1,Valencia,6,1,1,21,16
Bilbao - Madrid,26,231.0,20,1,Bilbao,6,1,1,21,19
Barcelona - Bilbao,63,134.0,81,2,Barcelona,6,1,1,21,23
Madrid - Zaragoza,17,520.0,63,2,Zaragoza,6,1,1,21,24
Madrid - Malaga,17,675.0,48,1,Madrid,6,1,1,21,39
Malaga - Sevilla,59,576.0,67,1,Malaga,6,1,1,21,41
Madrid - Zaragoza,33,578.0,13,2,Madrid,6,1,1,21,47
Madrid - Malaga,80,264.0,29,1,Madrid,6,1,1,21,52
Bilbao - Madrid,85,323.0,67,2,Madrid,6,1,1,21,58
Madrid - Malaga,91,515.0,48,1,Malaga,6,1,1,21,59
Valencia - Sevilla,38,669.0,95,2,Valencia,6,1,1,22,10
Barcelona - Bilbao,47,285.0,24,2,Barcelona,6,1,1,22,12
Madrid - Malaga,70,668.0,110,1,Malaga,6,1,1,22,15
Zaragoza - Barcelona,27,202.0,77,2,Barcelona,6,1,1,22,20
Madrid - Malaga,81,719.0,104,1,Malaga,6,1,1,22,22
Madrid - Barcelona,58,599.0,83,2,Madrid,6,1,1,22,34
Bilbao - Madrid,85,172.0,119,2,Bilbao,6,1,1,22,36
Barcelona - Bilbao,68,199.0,29,1,Barcelona,6,1,1,22,45
Madrid - Malaga,34,180.0,66,2,Malaga,6,1,1,22,46
Barcelona - Valencia,66,291.0,13,1,Barcelona,6,1,1,22,51
Valencia - Sevilla,33,543.0,28,1,Sevilla,6,1,1,22,52
Zaragoza - Barcelona,48,178.0,104,1,Zaragoza,6,1,1,23,3
Malaga - Sevilla,99,635.0,3,1,Malaga,6,1,1,23,7
Zaragoza - Barcelona,36,718.0,22,2,Barcelona,6,1,1,23,9
Bilbao - Madrid,78,708.0,46,1,Madrid,6,1,1,23,21
Madrid - Barcelona,71,574.0,111,2,Madrid,6,1,1,23,23
Barcelona - Valencia,32,398.0,5,1,Barcelona,6,1,1,23,39
Zaragoza - Barcelona,53,348.0,79,2,Zaragoza,6,1,1,23,43
Barcelona - Valencia,44,423.0,55,2,Valencia,0,1,2,0,18
Bilbao - Madrid,45,593.0,34,2,Bilbao,0,1,2,0,19
Barcelona - Bilbao,94,222.0,116,2,Barcelona,0,1,2,0,32
Malaga - Sevilla,32,590.0,112,2,Sevilla,0,1,2,0,39
Madrid - Malaga,63,622.0,48,1,Madrid,0,1,2,1,6
Zaragoza - Barcelona,82,604.0,75,1,Zaragoza,0,1,2,1,8
Madrid - Malaga,95,324.0,56,1,Malaga,0,1,2,1,10
Bilbao - Madrid,98,695.0,118,2,Madrid,0,1,2,1,12
Barcelona - Valencia,62,614.0,59,2,Valencia,0,1,2,1,24
Valencia - Sevilla,78,147.0,51,2,Valencia,0,1,2,1,32
Sevilla - Madrid,18,332.0,11,1,Madrid,0,1,2,1,43
Valencia - Sevilla,49,434.0,32,1,Sevilla,0,1,2,2,9
Barcelona - Bilbao,59,263.0,78,1,Barcelona,0,1,2,2,13
Bilbao - Madrid,63,570.0,10,2,Madrid,0,1,2,2,14
Zaragoza - Barcelona,56,710.0,51,1,Zaragoza,0,1,2,2,25
Zaragoza - Barcelona,85,694.0,92,2,Zaragoza,0,1,2,2,44
Madrid - Malaga,27,291.0,17,1,Malaga,0,1,2,2,53
Madrid - Barcelona,31,432.0,55,1,Barcelona,0,1,2,3,3
Zaragoza - Barcelona,23,354.0,16,1,Barcelona,0,1,2,3,6
Madrid - Barcelona,48,445.0,45,1,Barcelona,0,1,2,3,9
Madrid - Zaragoza,80,372.0,58,1,Madrid,0,1,2,3,27
Madrid - Malaga,86,219.0,45,1,Malaga,0,1,2,3,34
Bilbao - Madrid,66,404.0,60,1,Bilbao,0,1,2,3,35
Madrid - Barcelona,53,547.0,93,2,Barcelona,0,1,2,3,40
Barcelona - Bilbao,86,470.0,113,1,Bilbao,0,1,2,3,42
Barcelona - Valencia,66,610.0,32,1,Valencia,0,1,2,3,47
Sevilla - Madrid,17,205.0,22,2,Madrid,0,1,2,3,58
Bilbao - Madrid,31,284.0,43,1,Bilbao,0,1,2,4,18
Madrid - Zaragoza,21,545.0,16,2,Zaragoza,0,1,2,4,22
Malaga - Sevilla,69,485.0,9,1,Malaga,0,1,2,4,28
Barcelona - Valencia,52,372.0,38,1,Valencia,0,1,2,4,56
Sevilla - Madrid,17,346.0,15,2,Madrid,0,1,2,5,2
Madrid - Malaga,40,361.0,119,1,Madrid,0,1,2,5,7
Valencia - Sevilla,63,600.0,108,2,Sevilla,0,1,2,5,22
Malaga - Sevilla,90,166.0,32,2,Malaga,0,1,2,5,26
Madrid - Zaragoza,45,388.0,67,2,Zaragoza,0,1,2,5,35
Zaragoza - Barcelona,48,406.0,93,1,Barcelona,0,1,2,5,45
Bilbao - Madrid,53,285.0,93,2,Bilbao,0,1,2,6,3
Sevilla - Madrid,22,465.0,108,2,Sevilla,0,1,2,6,34
Madrid - Zaragoza,72,599.0,28,1,Zaragoza,0,1,2,6,46
Bilbao - Madrid,84,127.0,17,1,Bilbao,0,1,2,6,57
Madrid - Zaragoza,14,229.0,90,2,Zaragoza,0,1,2,6,58
Malaga - Sevilla,46,133.0,13,2,Sevilla,0,1,2,7,5
Bilbao - Madrid,22,682.0,56,2,Madrid,0,1,2,7,47
Madrid - Zaragoza,55,463.0,114,1,Madrid,0,1,2,7,48
Sevilla - Madrid,45,330.0,111,2,Sevilla,0,1,2,7,49
Madrid - Malaga,65,701.0,115,2,Malaga,0,1,2,8,2
Barcelona - Bilbao,63,562.0,114,2,Barcelona,0,1,2,8,4
Zaragoza - Barcelona,35,536.0,84,1,Barcelona,0,1,2,8,8
Bilbao - Madrid,53,183.0,11,1,Madrid,0,1,2,8,11
Zaragoza - Barcelona,77,399.0,51,2,Barcelona,0,1,2,8,18
Bilbao - Madrid,86,208.0,24,1,Madrid,0,1,2,8,21
Madrid - Zaragoza,96,358.0,66,2,Madrid,0,1,2,8,27
Madrid - Barcelona,19,666.0,26,2,Madrid,0,1,2,8,31
Malaga - Sevilla,49,136.0,15,2,Malaga,0,1,2,8,33
Barcelona - Bilbao,92,471.0,62,1,Barcelona,0,1,2,8,34
Malaga - Sevilla,59,212.0,62,1,Sevilla,0,1,2,8,48
Madrid - Barcelona,91,594.0,7,2,Madrid,0,1,2,8,56
Sevilla - Madrid,22,489.0,40,2,Madrid,0,1,2,8,59
Valencia - Sevilla,70,539.0,95,2,Valencia,0,1,2,9,0
Madrid - Barcelona,21,276.0,71,1,Barcelona,0,1,2,9,11
Malaga - Sevilla,21,207.0,111,2,Malaga,0,1,2,9,17
Barcelona - Bilbao,62,160.0,33,2,Barcelona,0,1,2,9,18
Malaga - Sevilla,61,247.0,110,2,Sevilla,0,1,2,9,29
Madrid - Zaragoza,35,411.0,85,2,Zaragoza,0,1,2,9,36
Bilbao - Madrid,52,142.0,45,2,Bilbao,0,1,2,9,53
Madrid - Zaragoza,96,388.0,10,1,Madrid,0,1,2,9,59
Madrid - Malaga,23,603.0,63,1,Madrid,0,1,2,10,7
Barcelona - Valencia,79,559.0,2,2,Barcelona,0,1,2,10,39
Zaragoza - Barcelona,54,367.0,13,2,Zaragoza,0,1,2,11,0
Valencia - Sevilla,67,503.0,78,1,Valencia,0,1,2,11,13
Bilbao - Madrid,76,295.0,15,1,Bilbao,0,1,2,11,25
Bilbao - Madrid,98,602.0,103,2,Madrid,0,1,2,11,32
Zaragoza - Barcelona,35,128.0,31,2,Zaragoza,0,1,2,11,43
Malaga - Sevilla,53,580.0,34,1,Malaga,0,1,2,11,55
Valencia - Sevilla,90,223.0,19,1,Sevilla,0,1,2,12,5
Barcelona - Bilbao,30,408.0,107,1,Barcelona,0,1,2,12,10
Madrid - Barcelona,50,153.0,109,2,Madrid,0,1,2,12,13
Madrid - Zaragoza,37,402.0,101,1,Zaragoza,0,1,2,12,15
Zaragoza - Barcelona,67,236.0,96,2,Barcelona,0,1,2,12,20
Madrid - Malaga,30,296.0,44,2,Madrid,0,1,2,12,23
Sevilla - Madrid,15,521.0,0,1,Madrid,0,1,2,12,34
Bilbao - Madrid,12,178.0,81,1,Bilbao,0,1,2,12,50
Valencia - Sevilla,85,182.0,101,1,Valencia,0,1,2,12,53
Madrid - Barcelona,82,378.0,19,2,Madrid,0,1,2,12,57
Madrid - Zaragoza,14,355.0,114,2,Zaragoza,0,1,2,13,0
Madrid - Barcelona,35,518.0,104,2,Barcelona,0,1,2,13,3
Valencia - Sevilla,62,603.0,13,2,Sevilla,0,1,2,13,10
Madrid - Barcelona,98,561.0,101,1,Madrid,0,1,2,13,16
Zaragoza - Barcelona,44,367.0,43,2,Zaragoza,0,1,2,13,30
Malaga - Sevilla,11,239.0,96,2,Malaga,0,1,2,13,47
Barcelona - Bilbao,38,567.0,5,2,Barcelona,0,1,2,13,49
Barcelona - Valencia,71,122.0,85,1,Barcelona,0,1,2,13,54
Madrid - Zaragoza,65,143.0,104,2,Zaragoza,0,1,2,14,1
Madrid - Barcelona,21,449.0,105,1,Madrid,0,1,2,14,2
Madrid - Malaga,66,409.0,27,1,Madrid,0,1,2,14,10
Zaragoza - Barcelona,44,704.0,95,1,Barcelona,0,1,2,14,11
Madrid - Malaga,94,266.0,66,2,Madrid,0,1,2,14,26
Sevilla - Madrid,71,479.0,58,2,Madrid,0,1,2,14,31
Sevilla - Madrid,24,673.0,113,1,Sevilla,0,1,2,14,35
Sevilla - Madrid,89,602.0,39,1,Madrid,0,1,2,14,38
Barcelona - Bilbao,93,695.0,102,2,Bilbao,0,1,2,14,53
Zaragoza - Barcelona,88,336.0,17,2,Zaragoza,0,1,2,14,56
Madrid - Barcelona,45,234.0,1,1,Barcelona,0,1,2,15,1
Barcelona - Valencia,68,284.0,0,1,Barcelona,0,1,2,15,6
Barcelona - Bilbao,92,372.0,53,2,Barcelona,0,1,2,15,28
Zaragoza - Barcelona,54,506.0,26,1,Barcelona,0,1,2,15,33
Barcelona - Bilbao,69,123.0,36,1,Bilbao,0,1,2,15,37
Barcelona - Bilbao,49,506.0,72,2,Barcelona,0,1,2,15,40
Barcelona - Valencia,76,615.0,86,2,Valencia,0,1,2,15,48
Sevilla - Madrid,72,647.0,33,1,Madrid,0,1,2,15,52
Barcelona - Valencia,95,185.0,58,1,Barcelona,0,1,2,15,59
Bilbao - Madrid,25,700.0,93,1,Madrid,0,1,2,16,14
Valencia - Sevilla,30,306.0,92,2,Valencia,0,1,2,16,15
Madrid - Barcelona,77,570.0,100,2,Barcelona,0,1,2,16,17
Madrid - Malaga,34,296.0,81,2,Malaga,0,1,2,16,18
Madrid - Malaga,81,185.0,110,2,Malaga,0,1,2,16,23
Malaga - Sevilla,58,350.0,83,1,Malaga,0,1,2,16,37
Valencia - Sevilla,89,544.0,117,1,Sevilla,0,1,2,16,39
Valencia - Sevilla,52,548.0,58,2,Valencia,0,1,2,16,55
Valencia - Sevilla,38,441.0,105,1,Valencia,0,1,2,17,7
Barcelona - Bilbao,69,582.0,117,1,Bilbao,0,1,2,17,14
Barcelona - Bilbao,88,539.0,19,1,Barcelona,0,1,2,17,15
Malaga - Sevilla,56,122.0,17,1,Sevilla,0,1,2,17,21
Valencia - Sevilla,82,186.0,75,1,Valencia,0,1,2,17,24
Madrid - Malaga,41,388.0,19,2,Malaga,0,1,2,17,37
Barcelona - Valencia,16,138.0,63,1,Valencia,0,1,2,17,44
Zaragoza - Barcelona,63,612.0,93,2,Zaragoza,0,1,2,17,51
Malaga - Sevilla,12,435.0,8,1,Malaga,0,1,2,17,58
Bilbao - Madrid,13,530.0,30,2,Madrid,0,1,2,18,14
Zaragoza - Barcelona,27,236.0,76,2,Barcelona,0,1,2,18,19
Madrid - Zaragoza,21,504.0,35,1,Madrid,0,1,2,18,24
Madrid - Zaragoza,45,147.0,116,2,Zaragoza,0,1,2,18,26
Sevilla - Madrid,25,536.0,34,1,Sevilla,0,1,2,18,28
Valencia - Sevilla,84,357.0,58,2,Valencia,0,1,2,18,48
Bilbao - Madrid,54,181.0,71,1,Madrid,0,1,2,18,53
Madrid - Malaga,24,316.0,0,2,Malaga,0,1,2,19,4
Madrid - Barcelona,26,421.0,46,1,Madrid,0,1,2,19,5
Sevilla - Madrid,35,710.0,58,1,Madrid,0,1,2,19,8
Barcelona - Bilbao,33,275.0,108,1,Bilbao,0,1,2,19,15
Sevilla - Madrid,73,488.0,19,2,Sevilla,0,1,2,19,21
Madrid - Barcelona,95,585.0,26,2,Madrid,0,1,2,19,26
Valencia - Sevilla,39,210.0,93,2,Valencia,0,1,2,19,27
Madrid - Zaragoza,11,214.0,1,1,Madrid,0,1,2,19,31
Valencia - Sevilla,21,445.0,22,2,Sevilla,0,1,2,19,39
Zaragoza - Barcelona,61,377.0,86,2,Barcelona,0,1,2,19,45
Madrid - Barcelona,39,302.0,114,2,Madrid,0,1,2,19,53
Madrid - Zaragoza,77,162.0,99,1,Madrid,0,1,2,19,57
Madrid - Zaragoza,26,304.0,21,2,Zaragoza,0,1,2,20,1
Malaga - Sevilla,35,277.0,48,1,Sevilla,0,1,2,20,2
Sevilla - Madrid,44,121.0,49,1,Sevilla,0,1,2,20,3
Barcelona - Bilbao,81,581.0,20,1,Bilbao,0,1,2,20,7
Barcelona - Bilbao,24,608.0,114,1,Barcelona,0,1,2,20,8
Zaragoza - Barcelona,74,435.0,8,1,Barcelona,0,1,2,20,11
Sevilla - Madrid,17,352.0,18,2,Sevilla,0,1,2,20,13
Malaga - Sevilla,10,285.0,46,2,Malaga,0,1,2,20,20
Valencia - Sevilla,25,213.0,85,1,Sevilla,0,1,2,20,30
Madrid - Zaragoza,19,466.0,40,1,Zaragoza,0,1,2,20,34
Barcelona - Bilbao,68,686.0,75,2,Bilbao,0,1,2,20,42
Barcelona - Valencia,54,367.0,13,1,Barcelona,0,1,2,21,0
Madrid - Malaga,35,400.0,78,1,Malaga,0,1,2,21,1
Madrid - Malaga,89,449.0,55,1,Malaga,0,1,2,21,6
Malaga - Sevilla,43,641.0,55,2,Malaga,0,1,2,21,7
Madrid - Barcelona,57,254.0,22,2,Barcelona,0,1,2,21,10
Sevilla - Madrid,28,495.0,85,2,Sevilla,0,1,2,21,14
Malaga - Sevilla,97,586.0,40,2,Sevilla,0,1,2,21,18
Madrid - Barcelona,95,554.0,59,2,Barcelona,0,1,2,21,28
Barcelona - Valencia,21,653.0,90,2,Barcelona,0,1,2,21,32
Bilbao - Madrid,43,423.0,96,1,Madrid,0,1,2,21,34
Barcelona - Valencia,72,451.0,70,2,Valencia,0,1,2,21,40
Barcelona - Valencia,95,335.0,2,1,Valencia,0,1,2,21,45
Madrid - Malaga,58,369.0,4,1,Malaga,0,1,2,21,46
Madrid - Malaga,40,194.0,2,2,Madrid,0,1,2,21,47
Madrid - Barcelona,40,466.0,5,1,Barcelona,0,1,2,21,53
Valencia - Sevilla,33,439.0,17,1,Valencia,0,1,2,22,5
Zaragoza - Barcelona,66,460.0,32,2,Barcelona,0,1,2,22,6
Madrid - Barcelona,75,407.0,15,2,Barcelona,0,1,2,22,13
Zaragoza - Barcelona,62,680.0,117,2,Barcelona,0,1,2,22,16
Madrid - Zaragoza,87,286.0,14,1,Zaragoza,0,1,2,22,26
Barcelona - Valencia,17,393.0,113,1,Valencia,0,1,2,22,28
Zaragoza - Barcelona,46,131.0,96,1,Barcelona,0,1,2,22,31
Barcelona - Valencia,53,599.0,36,1,Valencia,0,1,2,22,32
Madrid - Barcelona,56,505.0,113,2,Barcelona,0,1,2,22,47
Valencia - Sevilla,79,669.0,0,2,Sevilla,0,1,2,22,48
Valencia - Sevilla,65,593.0,103,2,Valencia,0,1,2,22,52
Madrid - Barcelona,58,157.0,36,2,Barcelona,0,1,2,23,5
Bilbao - Madrid,65,634.0,103,2,Madrid,0,1,2,23,11
Sevilla - Madrid,72,517.0,98,2,Madrid,0,1,2,23,16
Bilbao - Madrid,47,656.0,86,2,Bilbao,0,1,2,23,24
Sevilla - Madrid,65,191.0,79,1,Madrid,0,1,2,23,25
Bilbao - Madrid,34,149.0,4,1,Madrid,0,1,2,23,38
Madrid - Zaragoza,14,584.0,54,1,Zaragoza,0,1,2,23,48
Zaragoza - Barcelona,60,698.0,20,1,Zaragoza,1,1,3,0,15
Valencia - Sevilla,52,266.0,75,2,Sevilla,1,1,3,0,31
Valencia - Sevilla,35,192.0,5,1,Sevilla,1,1,3,0,32
Barcelona - Valencia,21,314.0,51,1,Valencia,1,1,3,0,45
Malaga - Sevilla,94,682.0,43,2,Sevilla,1,1,3,0,50
Malaga - Sevilla,78,699.0,108,2,Malaga,1,1,3,1,5
Bilbao - Madrid,40,366.0,71,2,Bilbao,1,1,3,1,9
